Species,Species_dup,Class,Class_code,mt_size,hgt,hgt_perc,mtpt,mtpt_perc,hgt_mtpt_content,hgt_mtpt_ratio
Aureolaria_grandiflora,Aureolaria_grandiflora,hemi,0,501844,23607,4.704051458,25938,5.16853843,9.872589888,0.910131853
Castilleja_indivisa,Castilleja_indivisa,hemi,0,533412,38861,7.285362909,52817,9.901726995,17.1870899,0.735766893
Castilleja_paramensis,Castilleja_paramensis,hemi,0,495499,17844,3.601218166,82038,16.5566429,20.15786107,0.217508959
Orthocarpus_attenuatus,Orthocarpus_attenuatus,hemi,0,455825,21840,4.791312455,43910,9.633082872,14.42439533,0.497381007
Pedicularis_attollens,Pedicularis_attollens,hemi,0,276505,5097,1.843366304,10436,3.77425363,5.617619934,0.488405519
Pedicularis_chinensis,Pedicularis_chinensis,hemi,0,225612,3986,1.766749996,18414,8.161799904,9.9285499,0.216465733
Brandisia_kwangsiensis,Brandisia_kwangsiensis,hemi,0,402657,10260,2.548074416,5030,1.249202175,3.797276591,2.039761431
Euphrasia_cuspidata,Euphrasia_cuspidata,hemi,0,506047,32534,6.429047104,36829,7.277782498,13.7068296,0.883379945
Bartsia_inaequalis,Bartsia_inaequalis,hemi,0,498333,17387,3.489032434,81382,16.33084704,19.81987947,0.213646752
Bellardia_latifolia,Bellardia_latifolia,hemi,0,1265031,41727,3.298496242,73758,5.830529054,9.129025296,0.565728463
Odontites_vulgaris,Odontites_vulgaris,hemi,0,465110,13553,2.913934338,27832,5.983960783,8.897895121,0.486957459
Aphyllon_purpureum,Aphyllon_purpureum,holo,1,573339,71613,12.49051608,339,0.059127323,12.54964341,211.2477861
Orobanche_fasciculata,Orobanche_fasciculata,holo,1,546728,42438,7.762177902,1790,0.327402291,8.089580193,23.70837992
Aphyllon_fasciculatum,Aphyllon_fasciculatum,holo,1,588146,43714,7.432508255,1793,0.304856277,7.737364532,24.38036811
Orobanche_ludoviciana,Orobanche_ludoviciana,holo,1,702637,68059,9.686224893,7749,1.102845424,10.78907032,8.782939732
Orobanche_dugesii,Orobanche_dugesii,holo,1,656592,52306,7.966286522,7729,1.177138923,9.143425445,6.767499032
Orobanche_cooperi,Orobanche_cooperi,holo,1,831835,96828,11.64028924,9032,1.085792254,12.72608149,10.72054916
Orobanche_pinorum,Orobanche_pinorum,holo,1,536988,67192,12.51275634,6107,1.137269362,13.6500257,11.00245619
Orobanche_ramosa,Orobanche_ramosa,holo,1,1030751,140721,13.65227878,487,0.047247104,13.69952588,288.9548273
Orobanche_minor,Orobanche_minor,holo,1,1089721,82008,7.525596001,1169,0.107275165,7.632871166,70.15226685
Orobanche_crenata,Orobanche_crenata,holo,1,1075282,81435,7.573362151,402,0.037385542,7.610747693,202.574625
Orobanche_austrohispanica,Orobanche_austrohispanica,holo,1,1495304,220424,14.74108275,2188,0.146324761,14.88740751,100.7422302
Mannagettae_hummelii,Mannagettae_hummelii,holo,1,539045,67008,12.43087312,1363,0.252854585,12.6837277,49.16214242
Cistanche_salsa,Cistanche_salsa,holo,1,1708661,253655,14.84525017,7440,0.435428678,15.28067885,34.09341396
Cistanche_deserticola,Cistanche_deserticola,holo,1,1081476,322912,29.85845271,7857,0.726507107,30.58495981,41.09863815
Cistanche_tubulosa,Cistanche_tubulosa,holo,1,3978341,648654,16.30463553,4654,0.116983436,16.42161896,139.375591
Epifagus_virginiana,Epifagus_virginiana,holo,1,387389,53438,13.79440304,1356,0.350035752,14.14443879,39.40855459
Conopholis_americana,Conopholis_americana,holo,1,542851,105849,19.49872064,6643,1.223724374,20.72244502,15.9339154
Conopholis_alpina,Conopholis_alpina,holo,1,634449,107507,16.94493962,2032,0.32027791,17.26521753,52.90698826
Kopsiopsis_strobilacea,Kopsiopsis_strobilacea,holo,1,1149257,246097,21.41357416,3348,0.291318652,21.70489281,73.50567502
Alectra_sessiliflora,Alectra_sessiliflora,hemi,0,469124,31055,6.619784961,23472,5.003367979,11.62315294,1.323065781
Escobedia_crassipes,Escobedia_crassipes,hemi,0,464019,29350,6.32517203,28394,6.119145983,12.44431801,1.033669085
Melasma_hispidum,Melasma_hispidum,hemi,0,408385,19800,4.848366125,17368,4.252849639,9.101215764,1.140027637
Centranthera_chevalieri,Centranthera_chevalieri,hemi,0,617989,64454,10.42963548,41581,6.728436914,17.15807239,1.550082971
Hyobanche_sanguinea,Hyobanche_sanguinea,holo,1,581557,60493,10.40190385,4459,0.766734817,11.16863867,13.56649473
Aeginetia_indica,Aeginetia_indica,holo,1,420362,45957,10.93271989,0,0,10.93271989,#DIV/0!
Christisonia_kwangtungensis,Christisonia_kwangtungensis,holo,1,633096,107062,16.91086344,298,0.047070271,16.95793371,359.2684529
Harveya_capensis,Harveya_capensis,hemi,0,1055142,141881,13.44662614,36945,3.501424453,16.94805059,3.84033022
Monochasma_japonicum,Monochasma_japonicum,hemi,0,1327980,123091,9.269040196,43739,3.293649001,12.5626892,2.814216146
Lindenbergia_grandiflora,Lindenbergia_grandiflora,free,0,349987,11928,3.408126588,10719,3.062685185,6.470811773,1.112790372
Rehmannia_glutinosa,Rehmannia_glutinosa,free,0,547032,10869,1.986903874,13347,2.439893827,4.426797701,0.814340301