Species,Species_dup,Lifestyle,mt_size,mtpt_bp,mtpt_perc
Helicanthes elasticus,Helicanthes elasticus,photo,165273,4995,0.030222722
Santalum album,Santalum album,photo,351043,12167,0.034659572
Thonningia sanguinea,Thonningia sanguinea,non-photo,246247,0,0
Malania oleifera,Malania oleifera,photo,527575,29768,0.056424205
Loropetalum chinense,Loropetalum chinense,photo,758747,5345,0.007044509
Ribes nigrum,Ribes nigrum,photo,450227,3419,0.007593947
Cynomorium coccineum,Cynomorium coccineum,non-photo,1106389,4016,0.003629826
Ombrophytum subterraneum,Ombrophytum subterraneum,non-photo,713777,2996,0.004197389
Concolvulus arvensis,Concolvulus arvensis,photo,312437,29769,0.095280008
Ipomoea nil,Ipomoea nil,photo,265768,24245,0.091226182
Cuscuta epilinum,Cuscuta epilinum,non-photo,401461,11415,0.028433646
Cuscuta europaea,Cuscuta europaea,non-photo,406647,10305,0.025341389
Cuscuta japonica,Cuscuta japonica,non-photo,813731,14042,0.017256317
Arctostaphylos glauca,Arctostaphylos glauca,photo,592049,8501,0.014358609Hydnora visseri,Hydnora visseri,non-photo,1916394,4179,0.002180658
Monotropa_hypopitys,Monotropa_hypopitys,non-photo,810116,4400,0.005431321
Asarum sieboldii,Asarum sieboldii,photo,576500,8315,0.014423244
Saruma henryi,Saruma henryi,photo,538686,31024,0.057591992
Prosopanche americana,Prosopanche americana,non-photo,426953,939,0.002199305